Date,Review,Rate
2022-11-14,"4 weeks they kept my account suspended ,after 4 weeks they said I failed routine checks ,all original documents was provided by me ,no other explanation, they closed my account and stole 730£!This is a robberythey have now been reported to the police, stay away from this company.",1
2022-12-18,"Joke site,I have been using for 888 and depositing money via my ex partners PayPal account but today my account was suspended but they managed to take my deposited money first",1
2022-10-16,"They are a company that has no value or credibility and I lived VERY BAD experience the last 6 days, all the amounts in my account were seized for fake reasons and Fake excuses do not existI don't know how they are given permission to practice this profession, it is horrible and frustrating to deal with themز I advise everyone to stay away from them because you will not see the money that was deposited or any profits you win",1
2022-10-20,"Dont waste your time, you open an account, make a deposit and then get an Email advising that your account has failed their security checks and is now permantly blocked, no explanation, and no refund. Strange that I have accounts with other online betting companies where i sailed through their security checks.",1
2022-10-15,"Used a game called Top Eleven. You are 888 Casino, 777 Casino, 888 Sports. 888 Poker. You advertised offers in the game separately, took the cash then say the offers are not valid as you are the same company. Presumably I should have known.  Lots of organisations have a number of separate companies within them with slightly different names. Common business practice but technically separate to reduce risk. Utterly and deliberately misleading. I have cause not to trust you so won't use any forms of you ever again. Can I say you morph more than Power Rangers?Sent from my Galaxy",1
2022-11-19,"Took my deposit and never credited my account! Ive had non stop problems with this site, deals that never exist, games constantly throwing me out, its the worst site ive played on, time for a move. Steer clear of this one.",1
2022-10-31,"Me and my partner signed up to 888 separately and received the 88 free spins, we both won money of the free spins and was able to wire transfer the winnings to our bank accounts which took 2 days overall. We didn't even put money on the website 😃 thankyou 888!",4
2022-09-15,i have to agree with all the reviews. the system learns your betting patterns once you double up watch out takes all your money. i wish these guys were honest but they are not. lost lots of money.you answer how can you say Random number generator??????. its suppose to be live. stay away from this. Lies lies how can live baccarat casino be random numberr generator which is Casino all gain.Its suppose to be live. Right here got you in a lie red handed.,1
2022-10-13,"There is a lot of bots on it at the 2/5 5/10 10/20 Omaha cash games. For hours the tables has 1 player then as soon as I sit down, within 1 second there is a full table. They appear to all be from Sweden so I wouldn't be surprised if its all 1 person or 1 colluding team. Second I leave apart from 1 they all sit out. I tested this on around 5 different tables within 10 minutes.Tried 888 customer support but it wouldn't let me actually report it which is a fault on 888's side. very disapointed and down money from they games.In general I am up money so this isn't just a looser having a moan, please be careful.",1
2022-08-17,"This is one awful site , just takes money giving nothing back , I gamble using other sites and its like a nights entertainment,  this was just take, take , take , took all my money within 5 minutes , there is no fun in that at all.  I have used them before and found the same , this and 777 , do not play any of there slots games you will lose,  stick to live show games",1
2022-09-11,"Terrible company who are currently trying to rob me of my money , they’ve suspended my account 6 weeks back and when I email I get the same rubbish we will be in contact soon , stay away from this joke of a company unless you want a head ache , bunch of thief’s hoping I leave it go and they get too keep my money #ScumI see 888 have replied to the above , I’ve had the exact email sent to me for the last 6 weeks to every email I’ve sent them , I’ve had the same response via social media too , they send this and then do absolutely Zero too sort the customers issue , I urge anyone to stay away and never open a account with this company",1
2022-08-25,"Worst casino I’ve ever experienced, they do not like you winning, they take bonus offers and promotions from your account if you win with any bonus funds and bar you from any further promotions, terrible company run with terrible customer service, stay away from all 888 brands. Take note of all the negative reviews on here.",1
2022-09-08,"Rigged rigged rigged! Bad beats are the bread and butter of poker but 888 poker just keeps taking, taking, taking. It's pointless playing on this site anymore, I used to win a few tournaments and made 100's of final tables, but now I can't even make the last 30. A ""player"" will join your table, have an unbelievable run, clean out everyone's chips and ""magically"" get moved to another table after a few hands. Very convenient indeed. Don't waste your money on this BS site. Go to your local pub/casino and play live. Online poker is dead",1
2022-10-19,"User Wommatthew90Account was verified , Made first deposit of £60 Made first little football bet £30 which lost Then I received requests for cards bank statements etc etc , so I kindly asked live chat whilst the review of the documents is going on says can be 72 hours , can u process me back the £30 left, to card used 7 hours earlier to make the deposit , and she actually refunded to basically saying I won’t be getting anything back untill account is verified , Iv been in gambling industry 15 years and Iv never heard of holding funds only net profit funds untill accounts are verified , very disappointed with the first glimpseIf there customer service ..",1
2022-08-26,Absolutely dreadful company. Avoid at all costs.The poker favours the under dog and the casino is even worse.I have uninstalled the software and will not be back after losing nearly all the time. They also rip you off on the currency exchange if you are lucky enough to cash in.,1
2022-09-25,"It is a very good gaming site but what you need to know about the welcoming bonus?That the bonus and its winning is only accessible after the following conditions are met. You must wager in real money, (i.e. not bonus money or its winnings) 30 times the original bonus. So a twenty pound original bonus needs a total of £600 in bets. This must happen in 90 days. Additionally and this is important, not all wagers have a 100% contribution. A roulette wager is only worth 10 p in the pound so if your game is roulette, to access your bonus, you need to spend £60,000. phew….Away from the bonus complexity, the site is good.",1
2022-07-28,Terrible! The poker game on here is so rigged it’s ridiculous. I’ve never seen such scammed hands in poker in all my life. No matter what hand you have you will almost always lose to some worse hand that manages to hit cards on the turn and river. I get poker has an element of luck but 888 is ridiculous. If you have 4 aces you will likely still lose to someone with a terrible hand who shoves out of position and get a Royal or something crazy. Honestly people stay away from this site it’s worse than PokerStars,1
2022-06-17,Signed up to 888 with the minimum of fuss. Won a few quid with my £10.00 deposit only to find my account had been closed and would only be reopened if I supplied copies of Passport or Driving Licence. There's no way I'm supplying this sort of documentation to a Betting Site. This should have been requested as part of the signing up process. Feel like I've been scammed here.,1
2022-06-01,Tried to withdraw to be told I can’t withdraw to the card I used to deposit can only withdraw to an old Mastercard I told them a while back was no longer active tried ringing -spoke to someone who basically said card wasn’t allowed withdrawals (although it has in the past) I have  to email to her this reviewed how’s it fair to allow someone to deposit using a card they aren’t allowed to withdraw on?,1
2022-05-12,"The most unhappy platform with a lot of missunderstantings and errors, very week offer & the most stupid advertisings/claims with Dan Petrescu, the most awfull person from Romania football.A platform who only want your money, no help and offers to make your play fun. Never I will play here . No comaparation betwen Unibet or another (winmasters, betfair, etc.) I don t understand why we don t have bwin pe bet365 again.",1
2022-09-22,Advertised free spins no deposit simply not true as you must deposit and set up account games horrific and won't let you withdraw your money it's simply a con please do not get shafted by this con as its an absolute disgrace,1
2022-08-01,"888? More like ate ate ate. Cause that's all it does. Eats your money again and again and again. Now I never play for more than I can afford to lose, and I get its "" highly volatile"" but f off with that mouth ebola. I've played for 2 years now and not once have I come away with a win. Yet I've witnessed my own brother winning jackpots after jackpots. 3 times in one month and he doesn't even try. You guys really do have some sort of algorithm that learns a person's way of paying and playing, so you can strip em all of their money endlessly. Rigged like hell no matter what is played.",1
2022-03-17,"Dangle an enticing free bet offer to get you to sign up. You spend time signing up and deposit money to be given a message saying that “due to an internal decision, you are not eligible for  the free bet offer but you’re still welcome to bet with us!”. Not likely with shocking sharp practises like that. Money withdrawn, complaint put in with ASA and lesson learned - DON’T BOTHER WITH THESE COWBOYS.",1
2022-09-21,Terrible casino now £450 on in 7 days 0 return the slots just don't pay out and if you do trigger a bonus its Terrible.  This site has spoilt gambling for me I am closing my account now . It used to be a great casino too .,1
2022-03-27,"I’m not sure it’s as bad as people make out but one thing that is poor for a big brand is that they don’t half leave you hanging on withdrawals, if you win over a £1k. Most sites it’s just instant. I’ve had an average experience on here. However the withdrawals delay is massively irritating and may leave this site basically down to just that. If you win less than a k it’s in bank within an hour. Company makes millions just process the withdrawal.",3
2022-03-28,"I wouldn't recommend 888 at all. They make it as difficult as possible to withdraw your money and ask you for the same information over and over again hoping you will just get fed up. I currently have a complaint with the UK gambling commission in relation to one such case. There's much better platforms to use.Since their response below, they have refused to reply to my emails and have still not returned my balance to my account. Steer clear at all costs.",1
2022-03-16,"The I can't find words to say how bad.Cheltenham trying to put an e way lucky 63 couldn't get it on they kept saying e way terms had changed,but didn't tell you which horses,they then placed you singles and doubles ,some trebles and four folds but not the rest,all these companies like taking your money but not so keen on taking a bet criminals.",1
2022-05-26,"I only use the site for playing Black Jack. The site is OK, but the layout could be better.The reason I can only give 3 stars is because of the delay when making a withdrawal. It has taken two days to make a withdrawal back to my PayPal account.Some of the sites I have used are much quicker.",3
2022-09-27,"Worst company I gave ever used and I have used most of them . Tried to bet 6 horse accumulator and was refused . This was a 50 pence each way accumulator  .potential  winnings £3,000. Two pence ha'penny bookies.",1
2022-01-13,"Hello, 400 days ago, I sent all the documents for verification, and even today no one answered me, they blocked the account, on the phone they tell me that I will be contacted in 72 hours and nobody anything, I deposited 60,000 euros, in the end I was left with 45,000 euros and I wanted to withdraw them, but I have been with my account blocked for over a year.",1
2022-01-23,All online casinos cheating and then we ask they have ecogra raised this issue with ecogra Bcz they all online casinos know ecogra is pimp and broker all online casinos to protect them getting bribe all dishonest people work in ecogra gambling comission son of the bit ch all mother fuc kers ecogra and gambling comission basta rd's to rob our money,1
2022-07-09,They took my deposit quickly and within hours locked my account.  After days of back and forth and sending them all the documents needed they refused to release my funds or refund me and told me to go to my bank.This site is A FRAUD!!!!!!!!!!STAY AWAY!!!!!!,1
2021-12-19,Just like virtually every other uk registered casino it isn’t rigged or bent and has a good selection of the most recently released games.BUT - unlike many of their market rivals where they are almost instant withdrawals are painfully and disappointingly slow - rarely if ever is a withdrawal approved within 24 hours and sometimes it’s much longer.,3
2021-11-10,"As soon as I started winning alot of money on the live casino and withdrawing it, I then started receiving problems . They started with holding my money by closing my account down temporarily with no reason. Finally got it up and running again won a large bet it glitched and didn't go onto my balance . I spoke to customer support who then avoided me and I received no emails about this it's awful sticking to sky Vegas",1
2022-02-26,"AVOID THIS CASINO IS THE WORST EVER! I'VE NEVER EVER EXPERIENCE SUCH A BAD CASINO LIKE THIS ONE,AND BELIVE ME I'M A GAMBLER I KNOW WHAT I'M TALKING ABOUT! THEIR RTP IS THE WORST IF U CHECK IT SAYS 96-98 BUT I THINK THEY FORGOT TO PUT A - IN FRONT OF IT! If you play this casino you will regret it! been playing it for a while and 0 win absolutelly 0! someone with enough money should sue them because deffinetly they have the RTP unde 50 im 100% sure! lost arounD 10k in couple of days! worst casino ever",1
2022-07-15,"Terrible company, every week I keep getting restricted and asked to send documentation, the same ones every time, fed up so now asked them to permanently close my account, would not recommend site to anyone, there are much better options available",1
2021-10-03,I opened 888 account with €100 saying I get €100 bonus but I never got. I send my passport to Verify my ID they didn’t accept it so I play won €700 but was not able to take it out. They stop my account and don’t let me withdraw my money out. They keep all my money . Robber send them 100’s email to solved but same email reply and nothing was done . It’s over 3 weeks now. Still waiting for my withdrawal.,1
2021-11-08,"Not even worth the one star ,thought I’d try it out after reading reviews everyone is right I’m on a lot of other gambling sites ,and this is noooo good no chance of big wins after putting £1000 in ,on a pound a spin all the way through my biggest win when down to last £5 was £150 , I put it all back in and lost it all didn’t even get on the feature board ,my advise is listen to us all playing here will bankrupt you .1150 ++ spins and no feature joke .",1
2021-10-09,"This website has rigged casino to the core,the lowest RTP in almost all industry,Sports odds are very low,slow withdrawls also.this website is a borderline scam it should be shut down from internet.They are as bad as binary trade option websites.Almost everybody loses here in long term.They made billions with this website their owners also bought william hill.",1
2021-12-30,They blocked my account permanently cause they can i never asked for my account to be permanently blocked they did it since they have they power!Anyway i found a better site so that's good news.I also advise forget about customer service they do not understand English!They cannot do the basic tasks for customers such as looking threw emails to see if you were the one that requested to have account BLOCKED.It's so bad just like talk talk broadband company no English speakers just bad!,1
2021-08-23,Stay well away from this site. I was placing bets with this company and always took the odds. Placed a bet with them at 13/2 they paid out at 4/1. They said I didn’t take the odds. I placed my bet as I always do even showed them a screen shot of the bet. Made no difference so I closed my account went elsewhere to better site. Stay well away from these bandits.,1
2021-07-24,I have used this site since 2005 but the last 12 months I have spent a lot and had nothing back.. when I contact them they just say it’s fair gaming and Random money generator.. don’t know why the big turn around because they was a good site but no longer so I am not using them anymore.. they are losing because I am using other sites.. oh customer service is bad as well,1
2021-10-13,Their customer service is is no good you can say severely bad and they they steal your money  I called them to enquire about wagering bonus they disable temporarily my account I have 750 pounds inside I raise enquiry they said we will solve it in 72 hours but now 8 days passed no response this is disgusting don’t use they are cheater,1
2021-06-21,"So been playing a few sites and I am from the uk , visually 888.com is nice and easy to play with good options however I have stopped playing as I have worked out when you deposit money in USD when you withdraw there are 2 different exchange rates meaning from the moment you deposit money you are 10% down, my advice is if you are from the UK there are better options with better value for money on deposit",2
2021-06-15,"Third and final visit to this site.firstly the site is painfully slow taking up to 8 minutes to make a deposit. Then to the slots.... dear oh dear 3 very substantial deposits, and barely seen a spin pay above 50% of stake in 1000's of spins so many empty spins, bonus free spins don't exist;  its unreal 50% 20% 25% of stake paid back RTP is appalling. Don't waste your time and money.  ACCOUNT CLOSED !",1
2022-01-07,Merci to everyone for telling us your story. We also find very weird the fact they can operate whit no impunity and scamming so much players. We have share whit you all our history if you find new anomaly like some of you please share whit us. Because luck don’t exist at 888 everything is plan be aware,1
2021-06-07,"They withheld 2 withdrawals for 2weeks asking for every kind of ID known to man ,I would get an email asking for my passport which I sent then the next day it would be my bank card and the next day would be bank statement and then the passport would be rejected because they didn’t like the photo ,it’s a shame because the site is quite good but in my recent experience steer clear",1
2021-08-11,"GUYS , THIS CASINO IS FULL OF CHEAT , FULL OF BONUS TEASES NOT MORE THAN 5 x bonus , HORRIBLE HORRIBLE CASINO , THE SYMBOLS CHANGES IT SELF WHILE SPINING FOR BONUS , THE PAGES REFRESHES IT SELF WHILE YOU ON THE GAME , STAY AWAY , NOT WORTH SPENDING SINGLE PENNY IN HERE , POOR CASINO . I HAVE ALL THD PROOF ANYBODY WOULD LIKE TO SEE , message me .",1
2021-07-02,"So I’ve noticed every single withdrawal I make gets split into two for some reason, then I noticed every time I withdraw money it’s always short of the amount I would deposit, I’ve sent various emails with no response, I’ve rang and asked, all I get told is it’s the exchange rate, if I go to deposit $100, it’s £75, but they only pay £70? And the phone staff just go round in circles, used to spend a lot on this app and now I’ll be deleting it",1
2021-12-02,So having a registed a few cards on 888 this has been my problem I use revolt and natwest and a Stirling account so I have money in a few account to use to play with so I lost my revolt card as didn't replace it so instead of getting a new card I used there virtual cards every time u spend online it generated a new card but had the shame account number now 888 wont every card number from my disposal card which I sent in pdf which revolt gave me to send to 888 and I'm still being asked the same thing ;(,1
2021-04-25,"Again and again BIg stack calls with any two and beats short stack better hand as long as it’s all in pre flop the RNG will favour the big stack just look for yourself and you’ll see countless screenshots you can predict it every time join a different site this one is fixed, when you think about it makes sense get the short stack out and they can join another tournament keeps the money coming in",1
2021-11-19,"Just set up at account gave my bank details, address etc. Place £10 into my account  ,couldn't understand how the site worked, decided ruturn the funds ,got a receipt then tryed to check my log in details and couldn't because they had stop this ,,Just reported to my bank because its all very strange. Do not use",1
2021-07-06,"During the last five days, I have played 87 hands of poker on 888. I folded 48 times as the 2 cards dealt were  not worth a bet. Of the remaining 39 hands that I played, the winning hand was decided by the river card 18 times. There is definitely at least one ""player"" that is actually 888. No way would that many hands be decided by the river card.",4
2021-04-05,Terrible company and terrible site and far better companies out there with far more better opportunities   since the new site the betting options are terrible. their customer service is the worst I ever experienced and as for responsible gambling well they don’t care but use it an excuse to close your account when you hardly ever use them. Anyway AVOID AT ALL COSTS use BET365 or UNIBET far far far superior,1
2021-05-13,"I dont know y this company has many negative reviewsI won £30,000 last night at 1am and sent my i d to be veriffied the same time. I had the money in my account at 5 pm So quick and painless I was thinking they might scam me because I read the reviews after I withdrew But I kid u not u have nothing to worry about with 888 the best gambling site in the world",5
2021-07-01,"Laughing of course improves our health.  Health is more important than wealth. This is such a website.  Because they never reveal the fact that an investment of Rs700/- is mandatory to start earning something from them.  ie After earning Rs25 X 12days= Rs300/-, they will restrict our job saying that an investment of Rs1000/- is necessary to make us VIP and earn further. (1000-300 =700).  who wants to be a VIP.  Only money wanted. Hi Hi Hi Hi............",1
2021-04-02,"this has to be the worst site I've played on they won't even let me put a double on tried all different amounts from £100 to £10  5/1and 6/1 this is a sham will go back to my original bookie, this site is for people who will bet £1 a race what a bloody joke will close my account once my current bets are finished you only got one star because there's not a option for zero stars",1
2022-06-18,PLEASW DO NOT JOIN BET 888 THEY ARE A TERRIBLE SITE.Previous experience was dreadful with terrible online support and now they are closing many accounts because they recently received a record fine for breaking gambling laws.Stay away please,1
2021-09-09,"The win rate started off pretty good on this site but after they lure you in, they will rob you blind. They will say this is a random number generator but how do we know…. There is something very dodgy about this lot. They claim to care about responsible gambling but offer shiny promotions that will just leave you chasing something that will never come. I can’t wait for the “have you been ripped off by 888” adverts so I can show the deposit to win ratio. Best advice is go elsewhere.",1
2021-11-06,This has to be legalised fraud. I have never experienced such a poor online casino. I don’t believe the payout rate is 95% you simply never win. Perhaps my mistake but I’ve spent a load of cash without a decent payout dreadful is being kind. This site should be shut down and I’m definitely reporting them,1
2021-04-17,"DO NOT FALL FOR IT! Take tour business elsewhere!! Scam my company!!Advertised an offer which clearly outlines a 100% welcome bonus up to £150.After placing my bet I spoke to a customer service member who informed me I am not eligible for this offer.I asked if I could be refunded and for you to transfer my money back, only to be told this isn’t possible.AVOID THIS COMPANY!!Lesson learned - always read reviews before using a companies services!!",1
2021-09-26,"got pair of AA 20 time, and nomatter how i played them, going all in, or zlow call, i allwayz get beat by ztraight, 3 of kind, fluzh and all kind of bad handz like j 3 ofzuited and they hit the fluzh with one card, i literally only lozt with pair of AA, eveen i went all in with AA againzt 10 10, they hit the 10 and get tripz, itz weird 888 they want you to play bad handz to win, cauze i zee alot of bad handz winz over zuper good handz, i dont get it, 888 make me think i dont know how to play poker i feel like.",1
2021-06-09,"I´ve used 888 for more than a year, mostly doing football bet and ocasonally casino. last weekend I closed the account because I used other services (bet365, betfair etc...) they called me and offered me a 100 casino bonus to keep the account. from that 100 I won 2000 euros!! the only problem is that for cash that money you need to bet almost 4k. so I start making 5 euros bets in slots... I end up to cash out 1200 euros! it took 2 days to arrive in my revolut account! I recommend it!",4
2021-04-10,"Very bad customer service Do not even think about to try having a chat with customers service . Having a winning settled bet the money still don’t show on my betting account. I was waiting in queue  3 times in row to get in contact with a live agent but no chance, I get logged of all the time after 15-20 minutes Do not touch!!!!",1
2022-04-27,"I got bad treatment from the site after I got promoted My account vipSurprisingly, instead of not getting a reward, they tell me that they deprived me of the daily bonusBad customer serviceI will not play with them anymoreMy account Mutairi33",1
2021-12-09,Absolute horrible service all round. Same as all the usual suspect sites regarding withdrawals. I am a genuine legitimate customer I won't be using this company again even if I ever receive a 60 withdrawal request. Me or any of my associates do not do business the corrupt greedy way. Money deposited within 10 seconds not prepared to wait five days for any amount of funds no matter how small or large 12 hours maximum should be sufficient in today's climate. Companies in the near future won't be around if these are the services that you are offering.,1
2021-08-03,To be honest it’s not a bad casino. You won’t get rich playing here but that’s gambling. My main problem is that I won £200 Saturday morning and it never went in my bank until Monday afternoon. Most casinos now payout within the hour so sorry 888 I will be sticking with the fast payout casinos in future,1
2022-02-14,"Shocking service. Lied to twice about my withdrawal. Was clearly told funds had been sent. Yet in my account sections shows as pending. I won’t be using again, the snide tactics they use to hold your money as long as possible hoping that you re deposit is shameful.",1
2022-11-22,"I made a deposit to take advantage of the free bet offer they had and then as soon as I won my account was disabled and I was asked to provide documents to confirm my id. I did this but they were rejected again and again and the only response you get is a bit saying ""we appreciate your patience"" and unhelpful things like that. Now they will reply to this saying:""We would appreciate you contacting our customer service team to have this issue investigated further, by clicking the following link and providing your full details:888-external- en.custhelp.com/ app/ask/p/243""This just takes you back to their customer service which says ""the operations team have been unable to verify your account""And so it goes on forever! Absolutely useless and I feel ripped off as I can't access my money and I feel stupid for sending them documents.The reply below from 888 does exactly as I said and just redirects you to their useless customer service. I highly suspect that all communication is done through bots",1
2022-10-30,"Awful Awful Awful. It seems to me from reading the other comments here that the only business 888 want are losing gambling addicts, if anyone has an account which is managed responsibly, with occasional trades 888 put restrictions on the account to stop you being able to bet.i had an account for about 8 months happily enough, however - i recently noticed i could no longer place each way bets. I reached out to their support, they said restrictions were placed on the account, i asked what they were, she woudlnt tell me - i asked why, she wouldnt tell me. i got a standard copy paste response which did not answer my questions before the support just ended the chat mid conversation. Its nonesense, how can i use an accont, if they wont even tell me what i can or cannot do? fair enough if you cant reverse a decision, but at least tell me what restrictions have been put in place.",1
2021-08-06,Update ....... after my initial deposit my first cash out took 5 working days. I have now won more than £200.00 and my last cash out was under 12 hours. I only ever bet max £10.00 on a few slots or two spins on roulette 😀 ( a week ) I have found this a great site and will keep playing 👍,5
2021-08-29,"No wins, I’ve been playing nightmare on Elm st for a few months now, playing 20p spins, I’ve deposited quite a bit and won nothing, there is no way you could spend this much money without a win, now the reply will say the game is random number generated? You can’t spin that amount of times and no decent win, I play on another site and the wins are a lot better, I understand that there is only one winner (888) but really, you seriously need to look at yourselves. Do not play with this company, the odds of winning anything are appalling. STAY AWAY.",1
2021-08-15,Whorst then 888 will not Find another casino belive me. I have mounth’s since i didn’t see nothing from this shi.t casino and in 3 mounth more then 8000 deposit . Do yourself a favor an don’t made any deposit to 888 Because  belive me u will not see nothing back from them.,1
2022-06-09,"Worst bookmaker I’ve used, they shouldn’t be able to operate. Quick to take your money but try withdraw it and your account gets temporarily closed and fobbed off with excuses an no straight answers. Account still not been reactivated or shut down and refunded as Iv asked, after sending my proof of who I am twice apparently got to wait for it to go to the right department. After reading other reviews I can see they are busy with complaintsUpdate So after their reply telling me to follow the link iv now been told it’s been directed to relevant department an will take another 72 hours! I’m now going to report them to trading standards! They are thieves and shouldn’t be operating",1
2021-07-06,Just peice of craps they are my account got blocked by there responsibility gambling team because I won money till I was loosing they were happy  and my withdrawal is stuck there last 4 days@support  I have done this  so many time sent so many queries and email no reply,1
2021-04-16,Won’t even reply to me have £2000 pending  for the last 5 days but they  won’t pay my money or let me know what’s happening. Also why don’t you guys have a normal customer helpline like every other business on Google because you’re all cheaters. Can I please get paid what’s mine.,1
2022-07-06,"Today they closed the account, verification purposes and refusing to pay £150. I sent my driving licence and 3 months bank statements twice. They are thieves. I’ll not stop or give up until I get my money back.",1
2021-08-17,First time I've had an issue with 888 but I've deposited £100 and it said it was declined but I got instant notification from my bank saying it's been taken!!!! Not happy as it's hard to contact them and discuss with them!!! I won't be making any more deposits!!!!,1
2021-09-07,I spend there money nothing gave me you understand me when you put like 500 pounds and just pressing and no even going up to 510 never. Never bonus in the game and in the end they block me from 888. - 10000 stars to this online casino customer services no good.,1
2022-02-10,"Disgraceful!!! Opened an account, their sign up “suggested” a username, which I chose as it was pretty close to what I initially wanted, then the account was instantly suspended due to “irregularities” and a request for, I suppose, a “time out” which was odd, considering I’d only just opened the account, and have NO other gaming site connections. After numerous emails, which are obviously generated, no phone number which you can use to actually talk to a human, I am still suspended, now I’ve had to start approaching the ombudsman just to get my initial (and only) deposit back! This company are a disgrace and they really don’t care!!",1
2022-04-19,"Site is beyond a joke , freezes, try to deposit and it message you up to your daily credit limit , can’t get bets on , keeps logging you out ..The old site was easy to used (acceptable)  No more I’m afraid and no more of me ..",1
