Date,Review,Rate,Company
2023-02-13,"Date of experience: February 13, 2023",5,LendingClub
2023-02-14,Oh boy.What great experience.Seamless and quick. I needed some further information for them but the experience was a great one.The whole process took less time and effort than grocery shopping.Thanks Lending Club.,5,LendingClub
2023-02-08,"The whole process was quick, very professional.",5,LendingClub
2023-02-11,This application was very annoying when I couldn't provide the paper you wanted. I had given up on this app. Thanks for finally coming thru.,4,LendingClub
2023-02-17,"The first day I applied for the loan was on 02/01/2023 and I waited and kept checking online but didn't see anything updated so after a week I dedicated to call and speak with customer service and was told I was approved the next day but had to wait because account was going into funding, and it can take up to 5-7 business days, so I was happy that I was approved and now I just have to wait.  Well finally the funding went through on 02/13/2023, and I did request for the money to be paid to the creditors I had put on the application, so far only two of the creditors have been paid so far I am still waiting for the last creditor to be paid, but all in all the transition was great overall, easy to apply, customer service is great, and it took nine work days for everything to be completed.I am happy with my decision to go with Lending Club and I am happy that they gave me the opportunity to consolidate my bills into one and to go with a company who has a great reputation, so thanks again Lending Club for helping consumers like me get a better chance in life and a piece of mind knowing all will be great.I am a happy customer and will let family and friends know of my experience with Lending Club.THANK YOU!!!!!!!",5,LendingClub
2023-02-03,"Easy to apply, quick response, reasonable terms, all in all a very good experience.  I have recommended you, and will continue to do so.  Thank you so much.  B Claybaugh",5,LendingClub
2023-02-16,"Date of experience: February 16, 2023",5,LendingClub
2023-02-08,"Fast, easy and helpful!!",5,LendingClub
2023-02-07,"This was the easiest loan process I have ever gone through. Within minutes I was notified of the acceptance. I had my bills paid within few days and then the remainder deposited in my account. It was a no muss; no fuss process and I couldn't be happier. If needed in the future, this is my go-to company.",5,LendingClub
2023-02-14,Everyone was helpful in everything and the process was very speedy and timely,5,LendingClub
2023-02-03,Simple and easy process with a quick response.,5,LendingClub
2023-02-01,The application process was easy and I was funded in a couple of days! My creditors were paid right away. I was hesitant at first but since the recommendation came from Experian I thought it was safe to try. I am so very glad I got the loan.,5,LendingClub
2023-01-29,"Date of experience: January 29, 2023",5,LendingClub
2023-02-07,"I liked the experience. It was fast and friendly. My question is why I received $2000 less that what I was told. Is it still coming or is this the norm. If it is the norm, then it needs to be stated. If it was I missed it.",4,LendingClub
2023-02-13,"Excellence in clarity, customer satisfaction, and assurance. I would recommend anyone looking to get approved for a load to lending club!",5,LendingClub
2023-02-03,"The whole process was streamlined. The application was easy and simple. The funding was within a week this time, but they were even faster in my past with the company.",5,LendingClub
2023-02-07,"Ease of application, approval and CASH!!",5,LendingClub
2023-02-03,The loan process was quick and professional.,5,LendingClub
2023-02-13,"Lending Club Bank Terrible bank, do not trust these people, they offer 4% interest rate and when you fill out the online application with all your personal information they decline you!!!! With no reason!!!! I am sure this is business practice to sell your information!!!",1,LendingClub
2023-02-04,I appreciate that I was connected to the Lending Club through my account on Experian. I also liked that I could gain savings on my loan by opting to do a balance transfer to manage credit card debt and by setting up direct payments from my checking account.,5,LendingClub
2023-02-10,The process was extremely easy and fast! I’m very pleased and so far would definitely recommend them!! Only regret…I wish I would have done it years ago!,5,LendingClub
2023-01-27,"Typically, this is not the route to take. Especially when interest is so high.  I chose this route because I was able to get funding quickly, easily, and without judgement.  LendingClub provided the service I needed.  Thank you.",5,LendingClub
2023-02-05,Loan right on time. No gimmicks or delays straight to the business at hand. Thanks for your support .,5,LendingClub
2023-02-10,All I can say is y’all are the best thank you,5,LendingClub
2023-02-10,Good fast simple,5,LendingClub
2023-02-10,"Very easy process. Very helpful. Only problem I had is I had a Capital One Credit Card balance on a card almost 15 years old. The automated loan application program would not accept it. The number was correct. Everything was right. The system kept bouncing it out. I wanted to put that balance on my loan, however, the automated system would not take it, no matter how many times I tried.",4,LendingClub
2023-01-31,I think they are an excellent company and have great service.  I will recommend it to my friends,5,LendingClub
2023-02-09,The process was easy and I was approved the same day,5,LendingClub
2023-02-03,"Quick, fast, and professional.  I highly recommend the Lending Club.",5,LendingClub
2023-02-01,I needed a consolidation loan  and was guided through the process by a very helpful person at Lending Club. It was easy and I got a good rate. They give you a number of options for a loan with all the particulars spelled out upfront.,4,LendingClub
2023-01-29,Submitted everything online and all went smoothly.,5,LendingClub
2023-02-03,My experience was easy and fast.  I could not ask for an easier loan experience.,4,LendingClub
2023-02-06,"I applied for a loan and was approved. The first time I logged into my dashboard I had an offer for an additional amount already approved to do more credit card consolidation for $19,000. I started the application and after entering the first creditor I received a call and had to stop. When I went to continue, the application had locked up and would not let me add any more creditors. I called, multiple times, trying to get somebody to help me fix it but nobody seemed to know what to do to help. All I needed was the application unlock or them to add the other creditors I wanted to include. After speaking with 3-4 different employees, I was told I could just withdraw my application, which I did. Not even 20 minutes later the same offer appeared again on my dashboard but it would not load anymore. I called again to see if they could help, and of course they said no. So basically, they give you an offer but then don't follow through. Nobody in their staff knows how to correct anything. Oh also, I was told the creditors from my original loan would be paid no later than 7 business days, well here we are 7 business days later and now they are telling me it would take up to 2 weeks. Again, lack of knowledge at best. As soon as I can refinance and move my loan elsewhere i will be leaving and never coming back.",1,LendingClub
2023-01-25,"Application was easy and quick.  I loved that the system provided multiple options of terms and low rates.  Most importantly, the funding was funding was quick.  Within 7 days of application my credit cards were all paid off.",5,LendingClub
2023-02-06,"Date of experience: February 06, 2023",5,LendingClub
2023-02-06,"If you’re having a hard time obtaining a loan, Lending Club is for you. Not saying you will definitely get approved, but they seem to be a little lenient with their qualifications. Just know THERE ARE HIDDEN FEES. I didn’t get the full loan because they took a “fee.” And they’re making me pay back the full loan that included this charge that was taken out. I’m paying back more than I originally planned. But this is what happens when you  have nowhere else to go. Obviously, if you have very good credit and verifiae proof of income, you should go to a more reputable company that could give you a better loan offer.",3,LendingClub
2023-01-27,"Date of experience: January 27, 2023",5,LendingClub
2023-01-30,"I like the part that when I got to a part that I didn’t understand, I was able to call your aunt and speak to a live person. Thank you.",5,LendingClub
2023-02-01,"All in all I have had a positive experience.  The only issue was I had applied for a $3,000 loan but the deposit was only $2800. Joan Doucette",3,LendingClub
2023-01-27,"It was a very easy process, professional, and punctual, I highly recommend",5,LendingClub
2023-01-27,"Easy, fast, friendly!",5,LendingClub
2023-01-27,As a returning customer I was satisfied and pleased with the quick response and approved my loan. The money was deposited in my account the next day. thank you and I look forward to do future business with your company.,5,LendingClub
2023-02-01,"I had applied to Lending Club to go after and to secure a loan from them because I have gotten loans in the past from them, and I knew that I would be able to get a loan from them. The only thing that was bad for me was the APR! Ouch that I had to pay. It was for what I requested a CASH out type of deal. I was APPROVED in 48 hours just like they said and then the money was deposited directly into my Bank Account like they said. My STRESS was then very much relieved and I got to reduce the debt where I wanted for it to be reduced. My SS monthly distribution is taking care of the monthly payment for me so I don't have to worry. Just enjoy life! So, I'm Thankful for Lending Club. I will be a customer for ever. They will work with you if you run into any financial issues, such as skipping a month if you need to. I won't be doing that this time. So, I would recommend Lending Club to anyone.",5,LendingClub
2023-01-25,"Well first of all thank you for the loan and the opportunity to earn your trust and yes I know you are making money in the process, that's business. Nonetheless is helping me in a lot of ways,your services were fast and uncomplicated!!!! Definitely will recommend you guys to my friends",5,LendingClub
2023-01-28,Absolutely satisfied the process is easy secure terms are easy to understand this my forth loan I am very happy that I make the right decision thank you landing club for help me when I need the most I definitely recommend,5,LendingClub
2023-01-26,Very Fast & Efficient Service,5,LendingClub
2023-01-23,The process was very easy! Got money in my bank in a couple of days from when the loan was approved.,5,LendingClub
2023-01-16,"I have had several loans with LC and never had any issues.  This last time, they did not communicate like they usually do. They had me resubmit proof forms that were on the acceptable list.  I called to explain to them my issue and they noted my account but kept sending the same request.  Then it gets approved and into funding but no one let me know. I usually get an email, but not this time. So I call to see what's why I can't see the deposit.  So now the process is to wait until they verify my other account and then deposit it then. It has been over 3 weeks now, when it would usually take a week.I'm not sure what changed or who may have effected this outcome, but this was one of the worst loan experiences I have had. Communication would have saved this from happening and really prevented me from writing a review. I don't usually write these.  Management needs to streamline the process and those who verify address and living condition, update your list so the customer is not resubmitting the same docs you won't accept that are on the list...very frustrating.  LC can do better, like they used to.",1,LendingClub
2023-01-30,Getting a loan through Lending club was super easy and one of the best things I've done for myself!!,5,LendingClub
2023-01-13,"I was surprised when my loan cost me over $1000.00 which lowered the amount I was requesting of $21,500.00. I got a loan about 5 years ago for $26,000.00 and I received that amount. So I was disappointed with that.",4,LendingClub
2023-01-29,"Riding on my journey to rebuild my credit showed me many detours, potholes and challenges.  Finding the Lending Club has been one of my best discoveries.  Working with them has allowed me to recover and move ahead on my journey.  I needed help.  Help was offered.  The light at the end of the tunnel is growing brighter every day.  Thanks to the Lending Club.",5,LendingClub
2022-12-23,"First, the opportunity was provided via Experian a trustworthy entity which allowed me to feel comfortable completing the simple application process. After the application was completed Lending Club gave me an answer within 3 days. It was simple, quick and mission accomplished!",5,LendingClub
2023-01-27,"Date of experience: January 27, 2023",5,LendingClub
2023-01-18,"Ease of application, website was simple to use and didn't make me feel unsafe or frustrated using it, next day an excellent rep called and checked in and jumped ahead in the process easily from asking if I was still interested in applying to confirming my application was approved in full already.",5,LendingClub
2023-01-18,Super impressed.. the process was seem less and flawless. Was approved with competitive rate and money was in my account in 2-3 days..,5,LendingClub
2023-01-25,"It is extremely difficult to find good customer service today, but customer service here is outstanding!!!  My questions were answered promptly and any action needed was taken promptly and without any nasty attitude!!",5,LendingClub
2023-01-25,"Still waiting on loan funds from 1/4/23. 7 days, 12 phone calls, at least 15 different reps and supervisors, over 7 hours on the phone, complaints to FDIC, Comptroller,  and BBB.  I'm still not sure I am getting anywhere. You seriously think this is acceptable!",1,LendingClub
2023-01-17,"This was such an awesome experience dealing with lending club! The app detailed exactly what they required, I complied and in the appropriate time, the money was in my account. Full disclosure of the loan was sent with a copy of the due date, and when it would be taken out of my account. Easiest process ever!😊",5,LendingClub
2023-01-13,Lending club offered us a better rate than anyone else. The process was efficient and pretty simple. I was able to connect my credit cards easily and they made the payments for me. No headache. Quick.  I was impressed!,5,LendingClub
2023-01-25,I can hardly believe how easy it was to get a loan. You people have did a great job streamlining the process to make it as painless as possible. I am on my way to building a better credit score and paying off some old ugly credit cards.  Thank you so much for your help.                                             Merle,4,LendingClub
2023-01-18,"I was originally told that my loan had not been approved, but a couple of weeks later I received emails that told me that the accounts I wanted to be off were in fact paid, and that the remaining balance had been deposited into my checking account. So that made me very happy, and I'll learn more about my experience as time goes by.",4,LendingClub
2023-01-18,"Date of experience: January 18, 2023",5,LendingClub
2023-01-20,The loan was processed quickly and accurately.  Saving lots by paying off high-interest credit cards.,5,LendingClub
2023-01-17,They were fast and didn't prolong plus did it all over the internet didn't have to go into a place. This is my 3rd load with them and each one has been super easyand the money into my account the very next day. Interest rates are not bad either. Thanks Lending Club.,5,LendingClub
2023-01-24,"Date of experience: January 24, 2023",5,LendingClub
2023-01-24,"I’m new to lending club, but after a no hassle loan application and approval my credit score has gone up 40 points!! Seriously! And my payments interest has gone from 22 to 24% to 10%! Awesome service and result!!",5,LendingClub
2023-01-12,"Date of experience: January 12, 2023",5,LendingClub
2023-01-12,"Great company, fast approval and funding, 2nd loan and it went just as smooth as the 1st time.  Would definitely recommend to anyone looking reduce credit card debt into one low monthly payment and create light at the end of the tunnel.",5,LendingClub
2023-01-11,"Fast, and easy process with a fair rate. LendingClub comes through when your personal bank won’t.Thanks LendingClub!",5,LendingClub
2023-01-24,"Do not get a loan from this company. They claim they can help if you have financial hardship but they don’t, not even if you’ve always made your payments on time.",1,LendingClub
2023-01-11,This was through credit Karma and went very well. From the start to the finish was all very quickly done and very much appreciated.,5,LendingClub
2023-01-07,It was a very easy process.  I’m glad to took the steps to apply for the loan.,5,LendingClub
2023-01-18,"Date of experience: January 18, 2023",5,LendingClub
2023-01-05,"As a repeat customer, I was pleasantly surprised that the Lending Club made my second loan even easier to obtain and they also gave me a better rate. I couldn't be more pleased! Customer for life!!",5,LendingClub
2023-01-12,Super easy to apply. Money came within 24 hours. APR was very reasonable.,5,LendingClub
2023-01-16,I love Lending Club! They have met my needs every time I've needed a loan. The process for me is very streamlined since I've proven to be a great client. Lending Club will always be my go to. Thank you Lending Club!,5,LendingClub
2023-01-13,It was actual pretty easy once I had the proper documents and if I had a problem I cab call to ask for assistance.  Quick and easy as little as 5days. Thank you,5,LendingClub
2023-01-12,It was quick to get my loan because I paid off two times. I just don't like too much upfront fee.,4,LendingClub
2023-01-19,The loan process is quick and easy. This is my second loan with LendingClub. I will not go anywhere else. I appreciate what this company did for me and my family.,5,LendingClub
2023-01-12,Lending Club has been a great company! They provide me with my first loan years ago and have now provided me with my second loan! They are quick and very responsive! Great customer service too!! Thank you!!,5,LendingClub
2023-01-06,This was very easy and the fees were reasonable.  It couldn't have been easier.,5,LendingClub
2023-01-19,"Date of experience: January 19, 2023",5,LendingClub
2023-01-19,"I have taken out my last loan with lending club and will not be taking out another. I've had the same issues with a ""glichy"" system that somehow ignores the fact that I select not to autopay, and despite a ten day grace period these funds find their way out of my account anyway and inevitably cause me to overdraft, as I haven't been paid yet. When I call about these issues I'm given an empty apology for the inconvenience but that's it. Several times I paid my monthly payment, only to be autodrafted for the same payment later that day or the same week, and each time this happened they refused to refund one of those payments back to me. Completely unacceptable.",1,LendingClub
2023-01-09,"After looking into debt consolidation options we decided to go with the Lending Club.  The application process was very easy and before I knew it the loan was approved , my debts were paid for me and leftover funds direct deposited into my checking. This could not have been any easier.  I highly recommend the Lending Club for your financial needs to get you on your way to pay off debt.",5,LendingClub
2023-01-18,I've been with your guys about a good 10 years I don't received about 7 to 8 months the process was very short one to two days the money was in my account like always you guys always come through it's a blessing and I want to thank you guys,5,LendingClub
2023-01-12,Lending Club is very easy to work with giving you lots of options to consider. I would recommend them to anyone considering a personal loan option!,5,LendingClub
2023-01-09,"You guys were AWESOME,  VERY QUICK AND EASY.",5,LendingClub
2023-01-14,"20 minutes, got it done, 3 days or less",5,LendingClub
2023-01-17,"My third time borrowing from lending club, fast and easy.",5,LendingClub
2023-01-09,"Easy, fast and great service. I've done 2 loans with them and no issues at all.",5,LendingClub
2023-01-10,Thanks!! You were there when needed. Loan was in an adequate time frame. Interest was high but I didn't expect anything different. Plan to pay back early.,5,LendingClub
2023-01-01,This company is amazing ! True to their word no long forms fast and easy! Great way to get out of debt fast with reasonable payments!! Compared to other companys that are way higher and complicated for less money loaned.this was a wonderful opportunity to start out the year in better financial standing with less interest rate than what my credit cards had,5,LendingClub
2023-01-09,"I just did my 4th loan.  It was a consolidation loan, whereby I used the proceeds from the 4th loan to pay off the first 3 loans.  It saved me about $300 per month.Always fast and professional.  Love working with Lending Club.",5,LendingClub
2023-01-16,"Date of experience: January 16, 2023",5,LendingClub
2023-01-15,They were very helpful to me and my family treat me real good thank you,5,LendingClub
2022-12-30,From the beginning to the end they explained all the process and answered all my questions.Very professional and straightforward customer service.,5,LendingClub
2023-01-14,bull crap. they make it seem like they are there for you but then when you apply they reject you and send you to some third party site to apply who only does the same,1,LendingClub
2023-01-11,This is my second loan with the Lending Club and was quick and easy from the start to the finish. Thanks to all involved.,5,LendingClub
2023-01-06,Was a very easy and quick process to get my credit debt over with very thankful,5,LendingClub
2023-01-13,LendingClub was an easy online loan experience. It was quick with approval and within one week  everything was taken care of. My credit cards paid off and a little extra was deposited into my account to do a few small home repairs. When I called to inquire about when I should see the money deposited in my bank the customer service rep was very helpful and super polite. It was a great experience.,5,LendingClub
2023-01-06,"What made my experience great was the fact that I could do everything online. They let me know what else I needed and they kept me informed on how everything was going! The overall process could have been a little faster, but overall it was great!! No complaints!! I didn't even have to leave my house or wait for weeks.",4,LendingClub
2023-01-05,You guys made this transition as smooth as possible. All the paperwork was organized and detailed.,5,LendingClub
2023-01-03,Lending Club came thru like a champ… fast and stress free process .. Funded in a couple of days .. Thank You Lending Club !!,5,LendingClub
2023-01-02,"Honestly lending club it’s the best! No hassle no delays straight to the point! Fast & I mean VERY fast! I’m definitely a VERY happy customer! All other loan companies out there take too long, underwriting it’s extremely strict almost impossible to complete! 100% will be recommending LC!",5,LendingClub
2023-01-06,"This is my third loan with Lending club! They are helpful, professional and supportive with great customer support! I can't say enough positive things about them!! If you need a loan with a competitive rate you should check them out!!",5,LendingClub
2023-01-06,They was ever fast in sending my moneyI'm getting everything I wanted to payed off.that helps me so much.I thank you and God bless you all.Ill tell all of my family and friends now good y'all was .,5,LendingClub
2023-01-04,They were freindly and proffessional to deal with,5,LendingClub
2023-01-03,"I was surprised at how easy it was to apply and how quickly I received the funds. It feels good to have all the miscellaneous credit cards consolidated into one manageable bill. I also was glad to have the auto payment option so I will never forget or pay late.  The only thing that I didn’t like is that Credit Karma indicated that the inquiry wouldn’t affect my credit scores, but it’s listed as a hard inquiry and I lost some points.",5,LendingClub
2023-01-04,"Are you folks reading your email?  I have been trying to cancel my loan application for two weeks, now.  I do not want the 18,800 dollars you sent me.  I do not want to be charged 12,000 dollars for a loan I didn't want and won't keep.  Please be professional and take your money back and refrain from charging me a closing fee.Edith King",1,LendingClub
2023-01-10,This was one of the easiest loans I have ever applied for and received.,5,LendingClub
2023-01-03,"I have had a wonderful experience with LendingClub so far. The application submission process was easy, they provided me good rates and options up front, and I was prompted to complete ALL the paperwork up front. I was given a better rate for selecting to pay a certain % of my loan directly to credit cards (which i was doing anyways). I submitted my application over the holiday break and it was still completed the first business day back. The loan was disbursed immediately and received. Highly recommend for no frills, quality loan experience!",5,LendingClub
2023-01-05,"Lending club provided me with great financial services by offering options that allowed me to Taylor my needs with the products offered. In addition the process from start to finish was handled professionally, promptly and without any hiccups whatsoever! In my book you guys are great!!",5,LendingClub
2022-12-27,"Date of experience: December 27, 2022",5,LendingClub
2022-12-30,Fast approval and money was in account and to creditors fast. Super thankful.,5,LendingClub
2023-01-03,This is my second loan from Lending Club. It was approved in a reasonable time and the percentage rate is less then my credit cards. The online service web site is easy to navigate. The phone customer service is very nice too. I recommend Lending Club to my friends.,5,LendingClub
2022-12-28,"Very easy, very quick! Thank you!",5,LendingClub
2023-01-03,"Do not use this bank! Go anywhere else and save yourself from their incompetence. I called them to set up a wire transfer several days in advance and asked for it to be sent on January 2nd. When the transfer didn't happen, I found out the bank was closed that day! Why would they schedule a wire transfer for a day when they're closed? Today, I've called 5 times and was continually assured it would be done today, but the cutoff time came and it still wasn't done! Now, I'm told it may not be done for 2-3 days! I'm so upset that I trusted this bank with my money. Don't let it happen to you...stay away!",1,LendingClub
2022-12-24,"The application could not have been any easier, it guides you step by step through the process and provides clear explanations for each phase. The time from application to funding was very fast and automatically having payments sent out for bill consolidation was very convenient. I had a very good experience throughout, I highly recommend.",5,LendingClub
2022-12-27,Easy to apply and had money a couple of days after approval.Thanks,5,LendingClub
2023-01-01,Our loan was approved very fast and our money was sent after a couple days!!! Grateful!,5,LendingClub
2022-12-29,"Lending club get a big thumbs up . They did'nt judge me about my past "" and beleave me it was'nt very good "" . I'm on my come back and it will take some time , and with the help of lending club taking a chance on me to show people can change . Thank you lending club",5,LendingClub
2022-12-22,"Was able to get my 2nd personal loan and paid off 22,000 worth of credit card debt. Those cards have an avg. of 23% interest. My loan is 10%. I will save a tremendous amount of money and pay this off in 5 years.",5,LendingClub
2022-12-28,The process was so quick and easy. Made a stressful debt situation go away with a quick application through my smartphone. Now we can breathe a little better financially.,5,LendingClub
2022-12-20,Thanks a lot I had some credit card debt due to building my house though all my savings would cover. Just couldn't get caught up. So thanks for my loan now I have one payment instead of 3,5,LendingClub
2022-11-30,"The process was easy to complete. I completed the application. Even thought it was close to the holidays, it didn’t take long to receive approval and the funds.",5,LendingClub
2022-12-03,"It took a long time for a decision. They didn't ask me certain documents that were needed. It just kept saying under review. I had too call for a update then finally I received a call requesting additional documents. Then I had too go back through the review process. After that, I received a message telling me to link my bank account inwhich I had already done. So I called again and I was told to disregard that message. At that point I was ready too just cancel the loan. The loan was eventually approved after over 2 weeks.",3,LendingClub
2022-12-12,Easy application process. The loan was approved and funded within a few business days. You can check your status online and I received up to date emails.Would definitely recommend.,5,LendingClub
2022-12-30,My loan through the Lending Cub went very smoothly and assisted me in shifting from concern to feeling much better with my finances.Thank you!,5,LendingClub
2022-11-14,"Lending Club has been here for me, when no one else was.  I am greatly appreciative to them for all the assistance they've given me over the years.  A loyal customer",5,LendingClub
2022-12-23,"I am a repeat customer. I thought that applying for the loan would have no impact on my credit score, but days after securing funds, I got an email saying you pulled a hard inquiry on my credit. I also thought that I would received a much lower interest rate, but the contact I spoke to via phone said that was the best they could do. I guess I just expected better treatment, but it is what it is.",3,LendingClub
2022-12-23,I really appreciate Lending Club’s simplicity w/ applying for a loan and getting approved. Would definitely recommend.,5,LendingClub
2022-12-29,"This company came through with flying colors for me, at a time when I was sinking in debt.  They gave me an opportunity to pay some things off as well as make a well needed purchase , which made my life easier in every aspect .  I highly recommend them to anyone looking for or are in need of a LENDING hand !",5,LendingClub
2022-12-21,Great doing business with LendingClub. Application process was fast and my loan was funded and deposited into my account super quick. Thanks for your help and making the process simple and easy.,5,LendingClub
2022-12-28,"It was simple and uncomplicated, with professional customer service.",5,LendingClub
2022-12-17,It was quick and easy - just wish I got the 3+% rated but it's a lot better than 25% on my credit cards...,4,LendingClub
2022-12-16,"The agents are very accommodating and understanding to the needs of the customers. Customer service is the best. When you apply for a loan, it is hassle free. Just comply the requirements and you will get the desired amount needed. Thank you so much!",5,LendingClub
2022-12-14,"Met all expectations of on line approval. Quick review, approval and deposit.",5,LendingClub
2022-12-20,The process was fast and easy. Being able to do it on line was very simple.  Received money quickly. Thank You!,5,LendingClub
2022-12-11,Fast and easy! Took about 5 minutes to apply and writhing 5 business days the money was in my account. Definitely recommend!,5,LendingClub
2022-12-12,Didn’t get the amount I requested fees were quite high payment is ok but failed to meet the expectations advertised,1,LendingClub
2022-12-20,"Lending Club is very flexible with payment dates, they are prompt when payments are due, and always professional.This service as allowed me to pay off credit card debt accurred during the pandemic and obtain one low monthly payment. It's like being part of an organization that consider you family, that's looking out for you in good and bad times. I love this company and I'm excited about its growth.",5,LendingClub
2022-12-01,November the 30th got planned for a long for credit card debt and it literally took y'all 9 to 10 days to decide whether or not you going to give me the loan.  I would check periodically to see where it stood to have been no change to my application for the loan.  So I decided to go with somebody else as I figured I wouldn't get one through you.  I got along to upgrade and within 24 hours I had the money in my checking account now they all came and waited almost two weeks to get me money that I've already went somewhere else and gotten and used so now I have two loans to pay back and can't afford them If you're going to take 2 weeks to let somebody know if they got the loan or not The least you could do is keep them updated that you're still investigating or looking over the application and now I'm stuck and don't know what to do cuz I came to pay for y'all's loan. Just goes to show you somebody wants to give you a loan they'll give it to you you ain't got to wait two weeks won't be doing business with y'all ever again,1,LendingClub
2022-12-23,the expediency of the loan process was impressive and it was indicative of Lending Club's desire to satisfy the needs of potential clients. I will definitely recommend Lending Club to people in need of obtaining loans.,5,LendingClub
2022-12-15,"The customer service associate was helpful, courteous and knowledgeable.  I got the important information I needed to know.  The funds were sent in a timely manner.  I now have peace of mind.  Will begin my installments on January 15 I think.  Thank you for your prompt and efficient service.",5,LendingClub
2022-12-13,The easy to use process was great. Quickly accomplished each task. Had loan funded in 2-3 days and funds in my account the next day.,5,LendingClub
